Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Molex 53047-0210,
"C1, C13, C18, C2, C22, C24, C25, C27, C28, C3, C4, C9",0603,12,100n,
"C10, C11, C12, C21, C23, C26, C29",0603,7,1u,
"C14, C15",CP_Radial_D6.3mm_P2.50mm,2,100u,
"C16, C17",0603,2,2.2u,
"C19, C20",1206,2,22u,
"C5, C6, C7, C8",0603,4,6.8p,
"D1, D4",D_SOD-323_HandSoldering,2,D_Zener,
"D10, D11, D2, D9",D_SOD-123F,4,D_Schottky,
"D12, D13, D14, D3",0603,4,LED,
D5,SOT-23W,1,PESD2USB3UV,
"D6, D7",LED_RGB_5050-6,2,LED_RGB,
D8,D_SMA,1,D_Schottky,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
"J1, J2, J3, J5",Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,4,Molex 43045-0400,
"J10, J12",Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,2,Molex 43650-0500,
"J11, J4",Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,2,Molex 43650-0200,
"J6, J7",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,2,Conn_01x04,
J8,FTSH-105-XX-YYY-DV-K-A,1,FTSH-105-01-L-DV-K-A,
J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,0603,1,L_Ferrite,
L2,L_Abracon_ASPI-4030S,1,8.2u,
"Q1, Q2, Q3",SOT-23,3,AO3400A,
"R1, R10, R11, R12, R13, R14, R15, R2, R23, R3, R5, R6, R7, R8, R9",0603,15,5.1k,
"R16, R17, R19, R20",0603,4,50,
"R18, R21, R30, R31, R32",0603,5,120,
"R22, R24, R26, R27",0603,4,100k,
R25,0603,1,12.7k,
R28,0603,1,2.2k,
"R29, R4",0603,2,470,
"S1, S2, S3",RKB2SJM250SMTRLFS,3,RKB2SJM250SMTR_LFS,
"S4, S5",SLW8645872ARAND,2,SLW-864587-2A-RA-N-D,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
U2,SOT-23-6_Handsoldering,1,TPS54302,
U3,SOT95P280X145-5N,1,TLV74033PDBVR,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1051T-3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
Y2,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,1,32.768 kHz 6pF,
