Designator,Mid X,Mid Y,Rotation,Layer
BT1,159.918808,-115.248913,0.0,top
C1,120.147071,-101.833301,180.0,top
C10,149.192207,-111.816251,270.0,top
C11,154.692207,-113.566251,270.0,top
C12,151.192207,-111.816251,270.0,top
C13,193.037929,-89.999995,90.0,top
C14,186.987929,-108.067616,270.0,top
C15,179.487929,-108.067616,270.0,top
C16,187.737929,-93.499995,90.0,top
C17,189.487929,-93.499995,90.0,top
C18,181.237929,-91.499995,270.0,top
C19,176.237929,-95.999995,90.0,top
C2,107.75,-98.75,90.0,top
C20,178.737929,-95.999995,90.0,top
C21,167.487929,-96.499995,270.0,top
C22,171.037929,-91.249995,90.0,top
C23,161.487929,-96.499995,90.0,top
C24,171.0,-112.0,180.0,top
C25,165.0,-108.5,90.0,top
C26,163.5,-108.5,90.0,top
C27,152.25,-102.75,270.0,top
C28,142.75,-100.0,90.0,top
C29,141.0,-100.0,90.0,top
C3,116.0,-118.0875,90.0,top
C4,111.0,-118.0875,90.0,top
C5,157.692207,-110.816251,180.0,top
C6,150.5,-120.5,180.0,top
C7,157.692207,-104.816251,0.0,top
C8,150.5,-118.5,180.0,top
C9,154.692207,-110.066251,90.0,top
D1,120.147071,-103.583301,180.0,top
D10,172.737929,-99.999995,0.0,top
D11,172.737929,-97.499995,0.0,top
D12,206.337929,-99.799995,270.0,top
D13,203.337929,-99.799995,270.0,top
D14,200.337929,-99.799995,270.0,top
D2,137.25,-100.0,90.0,top
D3,130.4,-108.0,0.0,top
D4,106.0,-98.75,90.0,top
D5,140.237929,-118.999995,270.0,top
D6,118.487929,-123.249995,180.0,top
D7,118.452069,-130.749995,180.0,top
D8,193.237929,-102.999995,0.0,top
D9,172.737929,-102.499995,0.0,top
F1,203.237929,-111.999995,90.0,top
J1,130.1,-97.93,0.0,top
J10,184.9575,-124.0,90.0,top
J11,156.0,-85.2075,0.0,top
J12,166.9575,-124.0,90.0,top
J2,130.1,-87.85,0.0,top
J3,117.85,-87.85,0.0,top
J4,90.5425,-96.0,90.0,top
J5,105.5,-87.85,0.0,top
J6,91.5,-107.81,270.0,top
J7,91.5,-119.31,270.0,top
J8,154.237929,-126.999995,180.0,top
J9,139.737929,-130.749995,0.0,top
L1,152.942207,-111.816251,90.0,top
L2,182.487929,-98.499995,180.0,top
Q1,132.0,-111.0,180.0,top
Q2,115.759571,-99.083301,270.0,top
Q3,101.0,-99.0,270.0,top
R1,121.147071,-99.333301,90.0,top
R10,110.25,-97.75,180.0,top
R11,109.0,-118.0875,90.0,top
R12,113.5,-118.0875,270.0,top
R13,118.0,-118.0875,270.0,top
R14,135.737929,-119.999995,0.0,top
R15,144.737929,-119.999995,180.0,top
R16,120.5,-118.0875,270.0,top
R17,122.5,-118.0875,270.0,top
R18,124.5,-118.0875,270.0,top
R19,127.0,-118.0875,270.0,top
R2,119.147071,-99.333301,270.0,top
R20,129.0,-118.0875,270.0,top
R21,131.0,-118.0875,270.0,top
R22,191.237929,-93.499995,90.0,top
R23,191.237929,-89.999995,90.0,top
R24,183.987929,-89.499995,0.0,top
R25,186.787929,-89.999995,270.0,top
R26,169.287929,-94.749995,90.0,top
R27,169.287929,-91.249995,90.0,top
R28,197.137929,-97.399995,90.0,top
R29,195.337929,-97.399995,90.0,top
R3,129.0,-111.0,270.0,top
R30,193.537929,-97.399995,90.0,top
R31,191.25,-120.5,0.0,top
R32,151.0,-96.25,180.0,top
R4,126.6,-108.0,180.0,top
R5,115.759571,-102.083301,0.0,top
R6,102.25,-116.75,180.0,top
R7,102.25,-118.5,180.0,top
R8,110.25,-99.75,0.0,top
R9,101.0,-102.0,0.0,top
S1,102.987929,-122.999995,0.0,top
S2,102.987929,-127.499995,0.0,top
S3,102.987929,-131.999995,0.0,top
S4,196.2,-129.1,0.0,top
S5,143.0,-88.0,180.0,top
U1,141.192207,-108.816251,90.0,top
U2,183.987929,-92.999995,270.0,top
U3,164.487929,-96.499995,180.0,top
U4,169.5,-108.5,270.0,top
U5,147.5,-100.0,270.0,top
Y1,157.692207,-107.816251,90.0,top
Y2,153.275,-119.5,90.0,top
